track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams(10 million),in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Lover,Taylor Swift,1,2012,1,1,88.2831184,8448,23,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,28.6400165,2110,58,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5
Chemical,Post Malone,1,2023,4,14,17.2825906,2528,39,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5
Mockingbird,Eminem,1,2004,1,1,124.1559043,12985,61,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28
New Jeans,NewJeans,1,2023,7,7,2.956222,77,35,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
Primera Cita,Carin Leon,1,2022,4,20,7.7309611,266,27,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,160.5224506,21097,52,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3
Dandelions,Ruth B.,1,2017,4,28,111.6995633,3423,21,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3
Bones,Imagine Dragons,1,2021,3,11,83.80799,4198,44,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,1,2011,1,1,116.3620694,14739,43,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,109.3605526,26792,32,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10
Tak Segampang Itu,Anggi Marito,1,2022,12,2,17.9659294,213,6,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3
